.\instances\exp0.txt,8
.\instances\exp1.txt,8
.\instances\exp2_1.txt,8
.\instances\exp2_2.txt,7
.\instances\exp2_3.txt,8
.\instances\exp4.txt,11
.\instances\test_1.txt,41
.\instances\test_10.txt,19
.\instances\test_11.txt,35
.\instances\test_12.txt,36
.\instances\test_13.txt,36
.\instances\test_14.txt,24
.\instances\test_15.txt,49
.\instances\test_16.txt,47
